1,1,false

1,10,false
1,11,false
1,12,false
1,13,false
1,14,false
1,15,false
1,16,false
1,17,false

1,26,false
1,27,false

2,1,false

2,18,false
2,19,false
2,20,false
2,21,false
2,22,false
2,23,false
2,24,false
2,25,false

2,26,false
2,27,false
2,30,false

3,1,false

3,2,false
3,3,false
3,4,false
3,5,false
3,6,false
3,7,false
3,8,false
3,9,false
3,35,false

4,1,false

4,4,false
4,5,false
4,6,false
4,7,false
4,8,false
4,9,false

4,26,false
4,27,false
4,32,false
4,33,false
4,34,false

1,4,true
1,5,true
1,6,true
1,7,true
1,8,true
1,9,true
1,20,true
1,21,true
1,22,true
1,23,true
1,24,true
1,25,true
1,28,true
1,29,true
1,31,true
1,32,true
1,33,true
1,34,true
1,36,true
1,37,true
1,38,true
1,39,true
1,40,true

2,4,true
2,5,true
2,6,true
2,7,true
2,8,true
2,9,true
2,11,true
2,12,true
2,13,true
2,14,true
2,15,true
2,16,true
2,17,true
2,28,true
2,29,true
2,31,true
2,32,true
2,33,true
2,34,true
2,36,true
2,37,true
2,38,true
2,39,true
2,40,true

3,11,true
3,12,true
3,13,true
3,14,true
3,15,true
3,17,true
3,20,true
3,21,true
3,22,true
3,23,true
3,24,true
3,25,true
3,28,true
3,29,true
3,31,true
3,32,true
3,33,true
3,36,true
3,37,true
3,38,true
3,39,true
3,40,true

4,11,true
4,12,true
4,13,true
4,14,true
4,15,true
4,16,true
4,17,true
4,20,true
4,21,true
4,22,true
4,23,true
4,24,true
4,25,true
4,28,true
4,29,true
4,31,true
4,32,true
4,33,true
4,34,true
4,36,true
4,37,true
4,38,true
4,39,true
4,40,true
